FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
106,CSE Asia,India,Pandaripathar and Jagda (control),21.9932,84.7985,GPS,1,-811359295,749,2005,2006,7,Y,82.1652,299,274.800,5.616,0.110,221.366,341.133,53.434,66.333,,,0.0,99.0,14.500,19.006,8.518,19.006,67,,FU Sharma 02/12/08 re geo-positions and data,
107,CSE Asia,India,Duduwa,22.9593,80.1923,Combination,2,,,1987,1995,7,Y,412,4671,88.204,4.480,0.049,80.085,97.146,8.119,8.942,,,,,,,18.856,18.856,62,4,,
108,CSE Asia,India,Khapa,22.9908,80.1457,Combination,2,,,1987,1995,7,Y,394,2745,143.534,4.967,0.050,130.038,158.430,13.496,14.896,,,,,,,18.712,18.712,62,4,,
109,CSE Asia,India,Magardha,22.9839,80.1912,Combination,2,,,1987,1995,7,Y,457,7470,61.178,4.114,0.047,55.818,67.052,5.360,5.874,,,,,,,18.750,18.750,62,4,,
110,CSE Asia,India,Tarwani,22.9660,80.1399,Combination,2,,,1987,1995,7,Y,288,3870,74.419,4.310,0.059,66.301,83.530,8.117,9.111,,,,,,,18.796,18.796,62,4,,
111,CSE Asia,India,Balijanbanua,,,,,,,2003,2003,7,Y,30,320,93.750,4.541,0.183,65.548,134.085,28.202,40.335,,,,,,,,,63,4,FU Das 01/12/08 re geo-posistions,
112,CSE Asia,India,Duflagurh,,,,,,,2003,2003,7,Y,54,1252,43.131,3.764,0.136,33.033,56.315,10.098,13.184,,,,,,,,,63,4,FU Das 01/12/08 re geo-posistions,
113,CSE Asia,India,Kekurijan,,,,,,,2003,2003,7,Y,5,545,9.174,2.216,0.447,3.819,22.042,5.356,12.868,,,,,,,,,63,4,FU Das 01/12/08 re geo-posistions,
114,CSE Asia,India,Bisra,22.2660,84.9830,Encarta,1,1151053554,1103,1988,1989,7,?,5905,41282,143.041,4.963,0.013,139.438,146.736,3.602,3.695,370,88,2.0,9.0,23.784,23.784,29.540,23.784,64,64,,
115,CSE Asia,India,Malkangiri (area 1 un),18.3800,82.1860,Encarta,1,-313869750,770,1998,1999,14,N,107,495,432.323,6.069,0.097,357.699,522.515,74.624,90.192,153,55,1.0,14.0,35.948,37.028,24.471,37.028,65,65,,
116,CSE Asia,India,Malkangiri (area 1 un),18.3800,82.1860,Encarta,1,-313869750,770,1999,2000,14,N,94,454,414.325,6.027,0.103,338.489,507.151,75.836,92.826,157,70,1.0,14.0,44.586,45.925,23.869,45.925,65,65,,
117,CSE Asia,India,Malkangiri (area 2 tn),18.3800,82.1860,Encarta,1,-313869750,770,1998,1999,14,N,61,489,249.489,5.519,0.128,194.117,320.655,55.372,71.166,150,66,1.0,14.0,44.000,45.322,24.371,45.322,65,65,,
118,CSE Asia,India,Malkangiri (area 2 tn),18.3800,82.1860,Encarta,1,-313869750,770,1999,2000,14,N,21,448,93.698,4.540,0.218,61.091,143.708,32.607,50.010,126,22,1.0,14.0,17.460,17.985,23.900,17.985,65,65,,
119,CSE Asia,India,Malkangiri (control nn),18.3800,82.1860,Encarta,1,-313869750,770,1998,1999,14,N,51,501,203.593,5.316,0.140,154.728,267.890,48.865,64.297,115,49,1.0,14.0,42.609,43.889,24.466,43.889,65,65,,
120,CSE Asia,India,Malkangiri (control nn),18.3800,82.1860,Encarta,1,-313869750,770,1999,2000,14,N,69,459,300.490,5.705,0.120,237.332,380.456,63.158,79.966,123,75,1.0,14.0,60.976,62.807,23.911,62.807,65,65,,
121,CSE Asia,India,Malkangiri (area 1 un),18.3800,82.1860,Encarta,1,-313869750,770,2000,2001,14,N,94,528,356.061,5.875,0.103,290.889,435.833,65.171,79.773,133,70,0.0,14.0,52.6315789473684,55.766,23.298,55.766,65A,65A,New Sahu et al (2008),
122,CSE Asia,India,Malkangiri (area 1 un),18.3800,82.1860,Encarta,1,-313869750,770,2001,2003,14,N,213,924,461.039,6.133,0.069,403.100,527.305,57.939,66.266,278,92,0.0,14.0,33.0935251798561,35.064,21.486,35.064,65A,65A,New Sahu et al (2008),
123,CSE Asia,India,Malkangiri (area 2 tn),18.3800,82.1860,Encarta,1,-313869750,770,2000,2001,14,N,90,497,362.173,5.892,0.105,294.571,445.289,67.602,83.116,135,54,0.0,14.0,40.000,42.382,23.319,42.382,65A,65A,New Sahu et al (2008),
124,CSE Asia,India,Malkangiri (area 2 tn),18.3800,82.1860,Encarta,1,-313869750,770,2001,2003,14,N,61,870,140.270,4.944,0.128,109.139,180.282,31.132,40.012,299,47,0.0,14.0,15.719,16.655,21.506,16.655,65A,65A,New Sahu et al (2008),
125,CSE Asia,India,Malkangiri (control nn),18.3800,82.1860,Encarta,1,-313869750,770,2000,2001,14,N,69,590,233.898,5.455,0.120,184.736,296.143,49.162,62.245,154,50,0.0,14.0,32.468,34.401,23.266,34.401,65A,65A,New Sahu et al (2008),
126,CSE Asia,India,Malkangiri (control nn),18.3800,82.1860,Encarta,1,-313869750,770,2001,2003,14,N,356,1033,689.588,6.536,0.053,621.549,765.076,68.039,75.487,318,169,0.0,14.0,53.145,56.309,21.541,56.309,65A,65A,New Sahu et al (2008),
127,CSE Asia,India,Kurseong,26.8850,88.2780,Other,1,-746132340,898,2000,2001,14,Y,101,82117,1.230,0.207,0.100,1.012,1.495,0.218,0.265,,,,,,,0.124,0.124,68,,,
128,CSE Asia,India,Kurseong,26.8850,88.2780,Other,1,-746132340,898,2001,2002,14,Y,175,83797,2.088,0.736,0.076,1.801,2.422,0.288,0.334,,,,,,,0.092,0.092,68,,,
129,CSE Asia,India,Kurseong,26.8850,88.2780,Other,1,-746132340,898,2002,2003,14,Y,219,85504,2.561,0.941,0.068,2.244,2.924,0.318,0.363,,,,,,,0.066,0.066,68,,,
130,CSE Asia,India,Kurseong,26.8850,88.2780,Other,1,-746132340,898,2003,2004,14,Y,590,87248,6.762,1.911,0.041,6.238,7.331,0.524,0.568,,,,,,,0.042,0.042,68,,,
131,CSE Asia,India,Kurseong,26.8850,88.2780,Other,1,-746132340,898,2004,2005,14,Y,539,89028,6.054,1.801,0.043,5.564,6.588,0.490,0.533,,,,,,,0.025,0.025,68,,,
132,CSE Asia,Iran,Ghassareghand,26.0708,60.7917,Pers. Comm.,2,-1371961689,739,1995,1995,10,Y,13,2900,4.483,1.500,0.277,2.603,7.720,1.880,3.237,,,,,,,9.002,9.002,32,4,,
133,CSE Asia,Myanmar,Oo-Do,17.1140,96.2550,Combination,2,-557665958,319,1995,1997,7,N,91,348,261.494,5.566,0.105,212.927,321.140,48.567,59.645,3034,1105,0.0,99.0,36.421,47.738,38.062,47.738,66,66,,
134,CSE Asia,Sri Lanka,Mahameegaswewa,8.1336,80.7459,Other,1,-631416847,693,1994,1995,2,Y,122,280,124.490,4.824,0.091,104.248,148.662,20.242,24.172,560,26,0.0,99.0,4.643,6.086,5.278,6.086,45,46,,
135,CSE Asia,Thailand,Mae-Ramand District,16.9167,98.6667,Paper,1,,,1993,1994,7,Y,71,757,93.791,4.541,0.119,74.326,118.354,19.465,24.563,,,,,,,13.763,13.763,43,4,,
136,CSE Asia,Thailand,Shoklo refugee camp,17.4160,98.1760,Pers. Comm.,1,1228237017,73,1991,1992,7,Y,121,356,339.888,5.829,0.091,284.415,406.180,55.473,66.293,428,36,0,99,8.411,11.025,14.003,11.025,48,48,,
137,CSE Asia,Thailand,Shoklo refugee camp,17.4160,98.1760,Pers. Comm.,1,1960497065,294,1992,1992,7,Y,130,345,376.812,5.932,0.088,317.298,447.488,59.513,70.676,349,23,0.0,14.0,6.590,6.983,14.357,6.983,49,50,,
138,CSE Asia,Thailand,Bo Thong,13.2670,101.4320,Encarta,1,-1151426206,62,1989,1989,7,Y,33,242,136.364,4.915,0.174,96.944,191.812,39.420,55.449,253,24,0.0,99.0,9.486,12.434,10.509,12.434,53,53,FU Kamolratanakul 01/12/08 re PR per ACD year,
139,CSE Asia,Thailand,Bo Thong,13.2670,101.4320,Encarta,1,-1151426206,62,1989,1990,7,Y,8,242,33.058,3.498,0.354,16.532,66.104,16.526,33.046,253,24,0.0,99.0,9.486,12.434,10.207,12.434,53,53,FU Kamolratanakul 01/12/08 re PR per ACD year,
140,CSE Asia,Thailand,Bo Thong,13.2670,101.4320,Encarta,1,-1151426206,62,1987,1988,7,N,12,82,145.985,4.984,0.289,82.906,257.060,63.080,111.075,253,24,0.0,99.0,9.486,12.434,11.305,12.434,54,53,FU Kamolratanakul 01/12/08 re PR per ACD year,
141,CSE Asia,Thailand,Pong Nam Ron (Klong takon and Na Jork),12.9160,102.3820,Combination,3,2129224980,61,1989,1990,7,Y,21,421,49.881,3.910,0.218,32.523,76.505,17.359,26.623,451,50,0.0,99.0,11.086,14.532,9.970,14.532,57,57,,
142,CSE Asia,Vietnam,Phu Cuong,15.1431,108.1367,Map,1,930713006,3213,1999,2000,7,Y,0,750,0.000,,,,,,,,,,,,,2.788,2.788,30,30,,
143,CSE Asia,Vietnam,An Trach,9.1838,105.3194,Pers. Comm.,2,150776543,27,1999,2001,7,Y,12,910,13.184,2.579,0.289,7.487,23.215,5.697,10.031,1928,8,0.0,99.0,0.415,0.544,0.516,0.544,33,33,,
144,CSE Asia,Vietnam,Suoi Kiet,10.9670,107.6330,Encarta,1,-748204447,271,1999,2001,7,Y,102,957,106.616,4.669,0.099,87.809,129.452,18.807,22.835,1966,28,0.0,99.0,1.424,1.867,2.081,1.867,38,38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
