FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
28,America,Brazil,Urupa,-9.0860,-63.6680,Combination,2,-1075843466,874,1991,1992,7,Y,64,168,380.952,5.943,0.125,298.173,486.713,82.779,105.761,505,4,0.0,99.0,0.792,1.038,2.967,1.038,22,22,,
29,America,Brazil,Urupa,-9.0860,-63.6680,Combination,2,-1075843466,874,1991,1992,7,Y,69,144,478.890,6.171,0.120,378.234,606.331,100.655,127.442,505,4,0.0,99.0,0.792,1.038,2.969,1.038,23,22,,
30,America,Brazil,Portucheulo,-8.6080,-63.6100,Combination,2,-468576125,873,1998,1999,3,Y,28,175,68.571,4.228,0.189,47.345,99.313,21.226,30.742,73,4,0,99,5.48,7.183,4.013,7.183,26,4,,
31,America,Brazil,Leonislandia,-10.2770,-54.9840,Combination,2,-1333560538,858,1996,1997,7,Y,22,521,42.226,3.743,0.213,27.804,64.131,14.423,21.904,679,16,0.0,99.0,2.400,3.146,7.871,3.146,27,27,,
32,America,Brazil,Vila Candelaria,-8.7855,-63.9177,Paper,1,1697197569,2847,2001,2001,7,Y,22,270,81.481,4.400,0.213,53.651,123.748,27.830,42.267,310,19,0.0,99.0,6.129,8.034,4.499,8.034,28,28,,
33,America,Brazil,Vila Candelaria,-8.7855,-63.9177,Paper,1,1697197569,2847,2002,2002,7,Y,22,270,81.481,4.400,0.213,53.651,123.748,27.830,42.267,118,11,0.0,99.0,9.322,12.219,5.300,12.219,28,28,,
34,America,Guatemala,Los Amates,15.2570,-89.1010,Combination,1,1141879071,905,1990,1991,14,Y,11,350,31.429,3.448,0.302,17.405,56.751,14.024,25.323,1024,4,0.0,99.0,0.391,0.512,2.114,0.512,17,17,,
35,America,Peru,Tambogrande/Bellavista (Dry),-4.9500,-80.5340,Encarta,1,-1856391743,915,1996,1997,7,N,6,4510,1.330,0.285,0.408,0.598,2.961,0.733,1.631,954,2,0.0,99.0,0.210,0.275,1.047,0.275,16,16,,
36,America,Peru,Tambogrande/Bellavista II (Int),-4.9170,-80.5170,Encarta,1,964551238,915,1996,1997,7,N,42,4598,9.134,2.212,0.154,6.750,12.360,2.384,3.226,741,3,0.0,99.0,0.405,0.531,1.077,0.531,16,16,,
37,America,Peru,Tambogrande/Bellavista III (Green),-4.8700,-80.5500,Other,1,-800270988,915,1996,1997,7,N,175,3324,52.647,3.964,0.076,45.397,61.055,7.250,8.408,703,9,0.0,99.0,1.280,1.678,1.140,1.678,16,16,,
38,America,Peru,Padre Cocha,-3.6986,-73.2775,Paper,1,1791189132,891,1997,1998,7,Y,232,1400,165.714,5.110,0.066,145.705,188.471,20.009,22.757,1022,13,0.0,99.0,1.300,1.704,4.120,1.704,25,25,,
39,America,Venezuela,Las Majadas (non-vaccine),7.6330,-64.8340,Encarta,1,-1003759519,907,1988,1989,14,Y,49,941,52.084,3.953,0.143,39.364,68.914,12.720,16.830,11117,49,11.0,90.0,0.441,0.743,3.531,0.743,20,18,,
